proxy,event_time,ddd_contrast
gemini_only,-21,0.9065546481121558
gemini_only,-20,0.7544122142327474
gemini_only,-19,1.0252867201734581
gemini_only,-18,0.7215808501863012
gemini_only,-17,0.1844787799841594
gemini_only,-16,0.40331758028593967
gemini_only,-15,1.0175662372056635
gemini_only,-14,0.7571287200253884
gemini_only,-13,0.6550560625780655
gemini_only,-12,0.5448011587607304
gemini_only,-11,0.31062512769898554
gemini_only,-10,0.1645458033858631
gemini_only,-9,-0.036845396253115226
gemini_only,-8,0.14086048620814218
gemini_only,-7,0.4927304361456333
gemini_only,-6,0.838622369437152
gemini_only,-5,1.34907248153403
gemini_only,-4,1.417159943215772
gemini_only,-3,0.20608183938594493
gemini_only,-2,0.9767418684417635
gemini_only,-1,1.1529129824246205
gemini_only,0,1.3262145233405267
gemini_only,1,1.4617788064451105
gemini_only,2,1.4683991298864374
gemini_only,3,1.4223135776509732
gemini_only,4,0.06991724605313543
gemini_only,5,0.6288683588592967
gemini_only,6,0.7387945490057568
gemini_only,7,1.3331863631558107
gemini_only,8,1.5292814967009924
gemini_only,9,1.5014988142361112
gemini_only,10,1.3070203685484643
gemini_only,11,-0.38049817492012394
gemini_only,12,0.8402026733240735
gemini_only,13,1.1193973958918537
gemini_only,14,1.161203491829399
gemini_only,15,1.0565425233330288
gemini_only,16,0.9039548171844238
gemini_only,17,0.8667863073697557
gemini_only,18,0.13475603690472227
gemini_only,19,0.9168722058014698
gemini_only,20,1.1806083907667428
gemini_only,21,1.391820464178851
coinbase_only,-21,-0.13511005955567157
coinbase_only,-20,-0.09764319432632895
coinbase_only,-19,-0.21156593860515116
coinbase_only,-18,-0.1964221667757613
coinbase_only,-17,-0.5081841707212984
coinbase_only,-16,-0.5424731540900645
coinbase_only,-15,-0.30773318876616784
coinbase_only,-14,-0.1911752418385504
coinbase_only,-13,-0.05309551810785251
coinbase_only,-12,-0.1613885478877357
coinbase_only,-11,0.002200204501550118
coinbase_only,-10,0.23282769620485233
coinbase_only,-9,0.1157696523272378
coinbase_only,-8,-0.05681732779480164
coinbase_only,-7,0.34532802377576743
coinbase_only,-6,0.2037821141945031
coinbase_only,-5,-0.15042984523513425
coinbase_only,-4,-0.1613242598702218
coinbase_only,-3,-0.2188589739345037
coinbase_only,-2,-0.1245708796317544
coinbase_only,-1,-0.02804916451663253
coinbase_only,0,0.0018505556700390002
coinbase_only,1,0.12183674059683725
coinbase_only,2,0.25658097396801693
coinbase_only,3,0.2919460851641098
coinbase_only,4,-0.17403860907694302
coinbase_only,5,-0.32526538785241677
coinbase_only,6,-0.011618826139102367
coinbase_only,7,0.27606061038599705
coinbase_only,8,0.35101842191273214
coinbase_only,9,0.21321999349332899
coinbase_only,10,0.1918242980364866
coinbase_only,11,-0.22442652765133175
coinbase_only,12,-0.16233731078739666
coinbase_only,13,0.0429973342246619
coinbase_only,14,-0.03914787037647649
coinbase_only,15,0.059588900008973766
coinbase_only,16,-0.029910538362948103
coinbase_only,17,-0.08055072210893677
coinbase_only,18,-0.6559889670479606
coinbase_only,19,-0.3382408218021169
coinbase_only,20,0.07562173872680944
coinbase_only,21,0.1890629102052639
