variant,asset,coef,pct,pval,nobs
residualized_full,BTC,0.02712594826886451,2.749720610862716,0.00033509575935486424,10235
residualized_full,SOL,0.023687015278567605,2.3969780835027876,1.3001074032903404e-05,9986
residualized_full,DOGE,-0.002867689804081087,-0.2863581909335666,0.18728579083442298,8969
residualized_full,LTC,-0.013284646313116457,-1.319679485475822,0.0,9986
residualized_full,BCH,0.009198862858690891,0.9241302429752185,0.07283664522321542,9218
residualized_full,UNI,0.0003919052319381981,0.03919820368267768,0.8556428677920165,9986
raw_2024only,BTC,0.04016761170520874,4.098524088197153,3.674186510593813e-08,3294
raw_2024only,SOL,0.017546362423756325,1.770120415150167,0.0,3294
raw_2024only,DOGE,0.02092531755537509,2.1145787126052973,4.0795122835390885e-10,2928
raw_2024only,LTC,0.015100845659006419,1.5215439523631913,8.615148372470571e-09,3294
raw_2024only,BCH,0.01647465442063117,1.6611109861945916,1.5121237595394632e-13,2928
raw_2024only,UNI,0.009778949677370103,0.9826919844208026,0.0,3294
raw_full_published,BTC,0.0499069501689131,5.117328032903368,1.175663522090531e-08,10262
raw_full_published,SOL,0.061033328316844375,6.293433940930915,0.0,10013
raw_full_published,DOGE,0.043363167771203116,4.4317088300412255,0.0,8993
raw_full_published,LTC,0.015536014770634014,1.565732606527348,1.462217254166731e-06,10013
raw_full_published,BCH,0.026761597908169343,2.7122905323422097,1.7789601742146388e-05,9242
raw_full_published,UNI,0.028355563531383802,2.8761409438023966,1.746501276933543e-08,10013
