event,proxy,outcome,coef,pct,se,pval,nobs
eth_rule_approval,gemini_only,turnover,0.03794621781574742,3.8675369146192295,0.13279914492671105,0.7750862394183629,6039
eth_rule_approval,gemini_only,notional,0.030793798580747964,3.12728320390554,0.1423988334879047,0.8288001080798428,6039
eth_rule_approval,coinbase_only,turnover,0.06445437167467039,6.657691101607033,0.1705662269258172,0.7055298775228454,6039
eth_rule_approval,coinbase_only,notional,0.06002342883294767,6.186142442785503,0.17166836565899657,0.7266157256096601,6039
eth_rule_approval,coinbase_gemini,turnover,0.0782131934851576,8.135317154861665,0.14006838246725886,0.5765973766773134,6039
eth_rule_approval,coinbase_gemini,notional,0.07095101200180803,7.352863456138747,0.14257610044627472,0.6187591854577503,6039
eth_etf_launch,gemini_only,turnover,0.09065431064758579,9.489044786071887,0.08319410943081137,0.2759022310503232,6039
eth_etf_launch,gemini_only,notional,0.04211496171651255,4.301437858199497,0.08411344273325912,0.6166063699490727,6039
eth_etf_launch,coinbase_only,turnover,0.24507466055827173,27.77167046863367,0.09759095882287164,0.012057281123954544,6039
eth_etf_launch,coinbase_only,notional,0.24383841904709247,27.61381142170556,0.091445363377564,0.007685710168636728,6039
eth_etf_launch,coinbase_gemini,turnover,0.22553576357138846,25.299384484991204,0.11201421976584121,0.04411212370601958,6039
eth_etf_launch,coinbase_gemini,notional,0.19598610718922946,21.651000447362367,0.09944512220811802,0.04879400374471654,6039
