event_id,event_date,measure,pre_mean,post_mean,delta,pre_sd,post_sd,n_pre,n_post,welch_t,roll_window
btc_etf_approval,2024-01-10,C_pairwise,0.57778573724298,0.7119397328776002,0.13415399563462016,0.09504157818837373,0.07260410364160053,30,31,6.180568337822224,15
btc_etf_approval,2024-01-10,C_pca,0.6083739739642277,0.7252803812705865,0.11690640730635882,0.07944905286548538,0.06668921350793466,30,31,6.214635817912235,15
btc_etf_launch,2024-01-11,C_pairwise,0.5882707085102777,0.7071082745828327,0.11883756607255491,0.09373712732686847,0.07632253731227036,30,31,5.419677643459131,15
btc_etf_launch,2024-01-11,C_pca,0.6183555699051237,0.7213440569812497,0.10298848707612596,0.07684347280864488,0.06914209290531438,30,31,5.496770469533844,15
eth_rule_approval,2024-05-23,C_pairwise,0.7434903343166179,0.724607361830973,-0.018882972485644967,0.0913353123089461,0.08103729473892028,30,31,-0.8531228672621349,15
eth_rule_approval,2024-05-23,C_pca,0.7554427847619543,0.7382218819391275,-0.017220902822826734,0.08531084681988958,0.07698570923421309,30,31,-0.8268345237672138,15
eth_etf_launch,2024-07-23,C_pairwise,0.7450016919073602,0.7258250651389551,-0.019176626768405147,0.0905463382211157,0.10018504808120113,30,31,-0.7848052918482998,15
eth_etf_launch,2024-07-23,C_pca,0.7540715282704608,0.7538562558121527,-0.00021527245830810227,0.08528077950526754,0.08686186584057103,30,31,-0.009766829996410445,15
mica_stablecoin,2024-06-30,C_pairwise,0.6977961838327796,0.7314456824469499,0.033649498614170215,0.08198287362150242,0.10078480314208714,30,31,1.4326026047351927,15
mica_stablecoin,2024-06-30,C_pca,0.7104851137591688,0.7489155022909137,0.03843038853174496,0.07748032500604234,0.08671164149434823,30,31,1.8266001666682687,15
mica_full,2024-12-30,C_pairwise,0.6224481373491293,0.7728115883485349,0.15036345099940562,0.16897637110618294,0.04855688538409424,30,31,4.690108085236622,15
mica_full,2024-12-30,C_pca,0.6337126257182756,0.7873258920183698,0.1536132663000942,0.1645796205789023,0.037964273943759445,30,31,4.985513194697471,15
btc_etf_approval,2024-01-10,C_pairwise,0.5961865971542515,0.6916564921856886,0.0954698950314371,0.059254590264279886,0.03794275577986327,30,31,7.466855157886031,30
btc_etf_approval,2024-01-10,C_pca,0.6132601874658448,0.7008662270758518,0.08760603961000701,0.05315481788953158,0.035692987480359185,30,31,7.532187541310653,30
btc_etf_launch,2024-01-11,C_pairwise,0.5983170025567898,0.6903946948535017,0.09207769229671192,0.06050156821514754,0.03954121987115709,30,31,7.011683750538837,30
btc_etf_launch,2024-01-11,C_pca,0.6154728190681137,0.6997930327688466,0.08432021370073295,0.05437473282360307,0.03693748787744722,30,31,7.061937162840978,30
eth_rule_approval,2024-05-23,C_pairwise,0.7688169407813966,0.7222685663665606,-0.04654837441483606,0.03611287181428965,0.023875696470295606,30,31,-5.9183356781414735,30
eth_rule_approval,2024-05-23,C_pca,0.7756770374123679,0.7316806362841688,-0.043996401128199136,0.034734309740017726,0.024743422543554862,30,31,-5.681553084660063,30
eth_etf_launch,2024-07-23,C_pairwise,0.7262348489606413,0.7566618320892005,0.030426983128559182,0.04270699997440859,0.018498601504964643,30,31,3.5899723402820785,30
eth_etf_launch,2024-07-23,C_pca,0.7326006509111792,0.7717882139131801,0.03918756300200088,0.04190623044848649,0.02140433592397962,30,31,4.576642755288601,30
mica_stablecoin,2024-06-30,C_pairwise,0.7123560361647391,0.7436074340183755,0.0312513978536364,0.033109557128437314,0.02844957603333888,30,31,3.9482760014888654,30
mica_stablecoin,2024-06-30,C_pca,0.7219089809720322,0.7508914720218121,0.0289824910497799,0.03446947092035508,0.027883047235102026,30,31,3.6035971985544974,30
mica_full,2024-12-30,C_pairwise,0.5544341092520573,0.7665572441864701,0.21212313493441282,0.09655725859064085,0.0378467625165687,30,31,11.227021527033664,30
mica_full,2024-12-30,C_pca,0.566406911880354,0.7751209002905028,0.20871398841014888,0.09312897294479774,0.0345763862826139,30,31,11.530181956630638,30
btc_etf_approval,2024-01-10,C_pairwise,0.553993413834761,0.6364932790879831,0.08249986525322217,0.0221190194555386,0.009918689414103865,30,31,18.691203451985018,60
btc_etf_approval,2024-01-10,C_pca,0.5644404196205914,0.6444247418867982,0.07998432226620678,0.02156165219521813,0.009939083224949852,30,31,18.504454849537716,60
btc_etf_launch,2024-01-11,C_pairwise,0.5573633788477929,0.6366148054836592,0.07925142663586637,0.02518860141620813,0.009821801732579485,30,31,16.089970806376503,60
btc_etf_launch,2024-01-11,C_pca,0.5677720433705277,0.6444651125108677,0.07669306914034002,0.024644428079415946,0.009909348756123561,30,31,15.850102910057345,60
eth_rule_approval,2024-05-23,C_pairwise,0.720278559539737,0.7364627775754977,0.016184218035760756,0.03069028594815074,0.024708782205188594,30,31,2.2642296617671995,60
eth_rule_approval,2024-05-23,C_pca,0.7276048740291778,0.7418313366959677,0.01422646266678984,0.029405882966626787,0.023827836454230023,30,31,2.072090814131788,60
eth_etf_launch,2024-07-23,C_pairwise,0.7121231097139348,0.7293162669107427,0.017193157196807918,0.02341536090237519,0.027623209027649316,30,31,2.625285286182978,60
eth_etf_launch,2024-07-23,C_pca,0.7183529793526622,0.7402851571909231,0.021932177838260958,0.02291753959227411,0.02837302797088761,30,31,3.326274012317189,60
mica_stablecoin,2024-06-30,C_pairwise,0.7268961254264871,0.7131651168159788,-0.013731008610508244,0.032169420164234235,0.021726192324389177,30,31,-1.9472707896185106,60
mica_stablecoin,2024-06-30,C_pca,0.7319622836246331,0.7205620198157073,-0.011400263808925781,0.03138250201648148,0.020297421960489875,30,31,-1.6787151621314986,60
mica_full,2024-12-30,C_pairwise,0.5606570758358523,0.6453219095818546,0.08466483374600231,0.04097357098788443,0.03455235053720901,30,31,8.710627886680003,60
mica_full,2024-12-30,C_pca,0.5712257625001238,0.6539562869579926,0.08273052445786877,0.03973600717416265,0.03495125378285097,30,31,8.623481607575835,60
