asset,outcome,coef,se,tstat,pval,nobs
BTC,log_rolling_notional_depth_proxy_24h,0.0063657191955486785,0.035725574011464076,0.17818381850228537,0.8585896411654703,3285
BTC,log_notional_volume,0.027127158075628415,0.04869667192221379,0.5570639020046443,0.5775218481087951,3285
ETH,log_rolling_notional_depth_proxy_24h,-0.01196786769124998,0.021650707173190578,-0.5527702903889177,0.5804584518612623,3285
ETH,log_notional_volume,0.013098982856372341,0.03563733788822938,0.3675634498136515,0.7132225307272164,3285
