event_id,event_date,measure,pre_mean,post_mean,delta,pre_sd,post_sd,n_pre,n_post,welch_t,dropped
btc_etf_approval,2024-01-10,C_pairwise,0.5941768589609501,0.6895396964417129,0.0953628374807628,0.059665958665861975,0.03846041539883956,30,31,7.393050084634114,venue=binance
btc_etf_approval,2024-01-10,C_pca,0.611958046235239,0.6992225854600563,0.08726453922481736,0.053412470930587326,0.03613305508000877,30,31,7.449738553988019,venue=binance
btc_etf_launch,2024-01-11,C_pairwise,0.5962682874323977,0.6883353691038286,0.09206708167143096,0.06088655787475673,0.039952419505473,30,31,6.958372382545467,venue=binance
btc_etf_launch,2024-01-11,C_pca,0.6141317217043957,0.6982033219994773,0.08407160029508165,0.054608877638279596,0.03728430254327577,30,31,6.999968911997423,venue=binance
eth_rule_approval,2024-05-23,C_pairwise,0.7678124225974984,0.7217421772755825,-0.04607024532191584,0.03582264957640086,0.02387678214234475,30,31,-5.890692600141207,venue=binance
eth_rule_approval,2024-05-23,C_pca,0.7749888195063298,0.7315271624472304,-0.043461657059099434,0.034371364779696274,0.024717014233812097,30,31,-5.6540521849330965,venue=binance
eth_etf_launch,2024-07-23,C_pairwise,0.7259477918041007,0.7576460942889519,0.03169830248485117,0.04302360941399592,0.018560763576552668,30,31,3.714741230117496,venue=binance
eth_etf_launch,2024-07-23,C_pca,0.7326733904697643,0.7729069985824409,0.04023360811267662,0.042177721682284654,0.021403541652235503,30,31,4.674647321807416,venue=binance
mica_stablecoin,2024-06-30,C_pairwise,0.711671046547852,0.7437267120215371,0.0320556654736851,0.03318130110596875,0.028625680981992523,30,31,4.034372495087795,venue=binance
mica_stablecoin,2024-06-30,C_pca,0.7216105736928164,0.7513206995327617,0.029710125839945256,0.03451030345580699,0.02806708427070692,30,31,3.681963372609258,venue=binance
mica_full,2024-12-30,C_pairwise,0.5538363363220644,0.7660990841066774,0.21226274778461296,0.09670077478073158,0.03808209054200195,30,31,11.210867760179987,venue=binance
mica_full,2024-12-30,C_pca,0.5664004542474861,0.7750004329753639,0.20859997872787783,0.09315373869528053,0.03471703469212154,30,31,11.515659764257592,venue=binance
btc_etf_approval,2024-01-10,C_pairwise,0.5958017194570878,0.6919884120114675,0.09618669255437973,0.05969243690415829,0.03868087508155246,30,31,7.442308788581719,venue=coinbase
btc_etf_approval,2024-01-10,C_pca,0.6135245391530405,0.7015700625816893,0.0880455234286488,0.053494114079232435,0.03628063007902508,30,31,7.499060491526472,venue=coinbase
btc_etf_launch,2024-01-11,C_pairwise,0.5979465604758908,0.6907832344797784,0.09283667400388762,0.06092391423840673,0.04018253004431668,30,31,7.001625140586698,venue=coinbase
btc_etf_launch,2024-01-11,C_pca,0.6157567936392223,0.7005369756262347,0.08478018198701243,0.0546983396656626,0.03745995082644988,30,31,7.040699741057547,venue=coinbase
eth_rule_approval,2024-05-23,C_pairwise,0.7682044655136228,0.7221612257424505,-0.046043239771172306,0.03614429229731149,0.024449419079189467,30,31,-5.808744018972456,venue=coinbase
eth_rule_approval,2024-05-23,C_pca,0.7753151637883223,0.7318475401808061,-0.043467623607516215,0.034754500669022324,0.025323770222732078,30,31,-5.567768984107482,venue=coinbase
eth_etf_launch,2024-07-23,C_pairwise,0.7240658361796072,0.7503263270745103,0.02626049089490312,0.04308518176931522,0.017570983020928865,30,31,3.0983355115455846,venue=coinbase
eth_etf_launch,2024-07-23,C_pca,0.7308297359560445,0.7667278938411969,0.03589815788515238,0.04225072864889029,0.020609983056178432,30,31,4.195633287889962,venue=coinbase
mica_stablecoin,2024-06-30,C_pairwise,0.7116956087305168,0.7408032433083569,0.029107634577840047,0.03421294753560471,0.02887340028450265,30,31,3.5853417821573856,venue=coinbase
mica_stablecoin,2024-06-30,C_pca,0.7215431635029839,0.7485998766551257,0.027056713152141865,0.035557897530028915,0.02817325406822759,30,31,3.2871629733971233,venue=coinbase
