asset,venue,outcome,n,beta,se,tstat,pval,rsq
BTC,coinbase,log_rolling_notional_depth_proxy_24h,1164,0.038657984027638335,0.0015517656098100845,24.91225722702384,0.0,0.348150679971304
BTC,coinbase,log_notional_volume,1164,0.04971586181232644,0.001531412890705191,32.46404814408548,0.0,0.47561151797422485
BTC,coinbase,log_dispersion_bps,1164,0.002789015232992676,0.001775018640784424,1.5712596864673727,0.11639457676051568,0.0021201571750691928
BTC,gemini,log_rolling_notional_depth_proxy_24h,1163,0.06227818843464332,0.0019356281084229729,32.17466628203888,0.0,0.4713618237091164
BTC,gemini,log_notional_volume,1163,0.07610656162322926,0.001785336934716574,42.62868265552986,0.0,0.6101678152439397
BTC,gemini,log_dispersion_bps,1163,0.002753656522188012,0.0017765209284734003,1.5500276287509227,0.1214074171551478,0.002065136934992773
ETH,coinbase,log_rolling_notional_depth_proxy_24h,1164,0.0320196695346994,0.001822466291249508,17.56941661332253,0.0,0.20989166683533977
ETH,coinbase,log_notional_volume,1164,0.03900263398450634,0.0019108093564965173,20.411577875051833,0.0,0.2639198853146877
ETH,coinbase,log_dispersion_bps,1164,-0.0034084192660439193,0.001757093713933608,-1.9398050536607332,0.05264511816241324,0.0032277951443689945
ETH,gemini,log_rolling_notional_depth_proxy_24h,1163,0.06348109704316475,0.0026264635428314208,24.16979943103641,0.0,0.33473880677583745
ETH,gemini,log_notional_volume,1163,0.07280512168068459,0.002639664344917591,27.581204337916507,0.0,0.3958546049272321
ETH,gemini,log_dispersion_bps,1163,-0.0035213917652051224,0.001757472508518967,-2.0036681928940223,0.04533763261107482,0.003446039156995706
