placebo_date,measure,pre_mean,post_mean,delta,welch_t
2023-06-06,C_pairwise,0.7507320558149322,0.7343629041874219,-0.016369151627510292,-1.4790995051677032
2023-06-06,C_pca,0.7601627968879006,0.7440096152221497,-0.01615318166575086,-1.5892540306206586
2023-05-16,C_pairwise,0.7424232519268639,0.7424796697392947,5.6417812430820113e-05,0.004707175385255579
2023-05-16,C_pca,0.7537304069702077,0.7521645273078893,-0.001565879662318359,-0.14377554260106012
2023-04-10,C_pairwise,0.7823975262891307,0.7296234804694105,-0.05277404581972023,-5.286295772683391
2023-04-10,C_pca,0.7927828434604003,0.7429458976321771,-0.04983694582822318,-5.586566391698168
2023-06-13,C_pairwise,0.7417006943812008,0.702079798460537,-0.03962089592066376,-3.1451084209152262
2023-06-13,C_pca,0.7515650196183716,0.714078865486712,-0.03748615413165968,-3.223447233900692
2023-08-16,C_pairwise,0.5633478662936616,0.7415390245214721,0.1781911582278105,15.15185942057933
2023-08-16,C_pca,0.5982493436678105,0.7491402039801872,0.15089086031237675,14.16384273644108
2023-07-14,C_pairwise,0.6990721275776031,0.5717336108536019,-0.1273385167240012,-10.996223866006114
2023-07-14,C_pca,0.7112904254676724,0.6058976482143769,-0.10539277725329554,-9.878296998123206
2023-10-24,C_pairwise,0.6899437739488167,0.5578936799077437,-0.13205009404107293,-8.671126104128618
2023-10-24,C_pca,0.7030491005089057,0.5767657441694202,-0.1262833563394855,-8.72016499947418
2023-11-16,C_pairwise,0.5920873652647562,0.5722795347318564,-0.019807830532899806,-1.1827099357159416
2023-11-16,C_pca,0.6105316176464887,0.586875185289829,-0.023656432356659707,-1.4724694948033439
2023-08-04,C_pairwise,0.5915181799506005,0.6567841601897657,0.06526598023916519,3.3967498176979016
2023-08-04,C_pca,0.618829128959087,0.67747131617022,0.05864218721113301,3.600077272951533
2023-10-30,C_pairwise,0.6709680274867286,0.5430718611392845,-0.12789616634744405,-10.81439746713424
2023-10-30,C_pca,0.6864119437317491,0.5610991515651124,-0.1253127921666367,-11.346564322926419
2023-06-24,C_pairwise,0.7435570189793069,0.6401468487886433,-0.10341017019066367,-9.51761554354352
2023-06-24,C_pca,0.7521922033448324,0.6607809940067149,-0.09141120933811753,-9.552875357520707
2023-05-04,C_pairwise,0.7136691372515086,0.7577089334125806,0.04403979616107201,4.52562987459931
2023-05-04,C_pca,0.7297703705100851,0.7664820569529848,0.03671168644289968,4.043591337849909
2023-12-07,C_pairwise,0.5350885673043538,0.5890146183609394,0.053926051056585544,3.7374558996230136
2023-12-07,C_pca,0.5526407098483551,0.6056628669020718,0.05302215705371671,4.044685746937904
2023-06-08,C_pairwise,0.7461200269533319,0.7282008006893067,-0.0179192262640252,-1.5940473596927045
2023-06-08,C_pca,0.7558224295380208,0.7383282026912875,-0.017494226846733296,-1.6902678025238194
2023-05-17,C_pairwise,0.7461794904492218,0.7413350889987906,-0.0048444014504311905,-0.4094789144393698
2023-05-17,C_pca,0.7570553213396993,0.7510018561600164,-0.006053465179682971,-0.5629234653751477
2023-07-18,C_pairwise,0.6773903259165913,0.5615805649732523,-0.11580976094333906,-9.864788031716394
2023-07-18,C_pca,0.6926620334919747,0.5962554727150757,-0.09640656077689902,-9.031459974778528
2023-04-07,C_pairwise,0.7903037770119393,0.7219234920317765,-0.0683802849801628,-8.32051268206457
2023-04-07,C_pca,0.7993949463602796,0.7364613238476283,-0.06293362251265133,-8.540328594087958
2023-05-01,C_pairwise,0.7193401641047116,0.7591425112007805,0.03980234709606889,3.8589902969746506
2023-05-01,C_pca,0.7355396403267686,0.767868774499805,0.0323291341730364,3.344547900432265
2023-07-11,C_pairwise,0.7201617158391728,0.5756485447990423,-0.1445131710401305,-14.78192613350227
2023-07-11,C_pca,0.7309275162731446,0.6079875140199428,-0.12294000225320179,-13.849791798817952
2023-05-26,C_pairwise,0.7621361392064123,0.7434182796671587,-0.018717859539253645,-2.0176386435791125
2023-05-26,C_pca,0.7709648010071238,0.7520868200417309,-0.01887798096539295,-2.2272166423911077
