event_id,event_date,measure,pre_mean,post_mean,delta,pre_sd,post_sd,n_pre,n_post,welch_t
btc_etf_approval,2024-01-10,C_pairwise,0.5961865971542515,0.6916564921856886,0.0954698950314371,0.059254590264279886,0.03794275577986327,30,31,7.466855157886031
btc_etf_approval,2024-01-10,C_pca,0.6132601874658448,0.7008662270758518,0.08760603961000701,0.05315481788953158,0.035692987480359185,30,31,7.532187541310653
btc_etf_launch,2024-01-11,C_pairwise,0.5983170025567898,0.6903946948535017,0.09207769229671192,0.06050156821514754,0.03954121987115709,30,31,7.011683750538837
btc_etf_launch,2024-01-11,C_pca,0.6154728190681137,0.6997930327688466,0.08432021370073295,0.05437473282360307,0.03693748787744722,30,31,7.061937162840978
eth_rule_approval,2024-05-23,C_pairwise,0.7688169407813966,0.7222685663665606,-0.04654837441483606,0.03611287181428965,0.023875696470295606,30,31,-5.9183356781414735
eth_rule_approval,2024-05-23,C_pca,0.7756770374123679,0.7316806362841688,-0.043996401128199136,0.034734309740017726,0.024743422543554862,30,31,-5.681553084660063
eth_etf_launch,2024-07-23,C_pairwise,0.7262348489606413,0.7566618320892005,0.030426983128559182,0.04270699997440859,0.018498601504964643,30,31,3.5899723402820785
eth_etf_launch,2024-07-23,C_pca,0.7326006509111792,0.7717882139131801,0.03918756300200088,0.04190623044848649,0.02140433592397962,30,31,4.576642755288601
mica_stablecoin,2024-06-30,C_pairwise,0.7123560361647391,0.7436074340183755,0.0312513978536364,0.033109557128437314,0.02844957603333888,30,31,3.9482760014888654
mica_stablecoin,2024-06-30,C_pca,0.7219089809720322,0.7508914720218121,0.0289824910497799,0.03446947092035508,0.027883047235102026,30,31,3.6035971985544974
mica_full,2024-12-30,C_pairwise,0.5544341092520573,0.7665572441864701,0.21212313493441282,0.09655725859064085,0.0378467625165687,30,31,11.227021527033664
mica_full,2024-12-30,C_pca,0.566406911880354,0.7751209002905028,0.20871398841014888,0.09312897294479774,0.0345763862826139,30,31,11.530181956630638
