event_id,treated,spec,outcome,term,kind,coef,se,tstat,pval,pct_effect,nobs,rsq
btc_etf_approval,BTC,BTC_did,log_dispersion_bps,treated_post,asset,0.6172044133300866,0.09112375763428104,6.7732546303368455,1.3817391675274848e-11,85.37385046725188,6039,0.025743058781820594
btc_etf_approval,BTC,BTC_did,log_amihud_illiquidity,treated_post,asset,-0.2558682854936815,0.0874955273711985,-2.924358457869098,0.0034648559008390034,-22.575605876503424,6039,0.004723986329244978
btc_etf_approval,BTC,BTC_did,log_notional_volume,treated_post,asset,0.3645154060286139,0.06351374304742845,5.739157992253968,9.989909788288287e-09,43.98161128567537,6039,0.011262309162203388
btc_etf_approval,BTC,BTC_did,log_high_low_range_bps,treated_post,asset,0.2168675732518312,0.019398590418993597,11.17955318235346,0.0,24.21795934411275,6039,0.016078646751110925
btc_etf_approval,BTC,BTC_did,log_rolling_notional_depth_proxy_24h,treated_post,asset,0.3863098917474128,0.06560069684184644,5.88880774664252,4.105107365148797e-09,47.15406184575313,6039,0.014961796801886251
btc_etf_approval,BTC,BTC_did,log_corwin_schultz_spread,treated_post,asset,0.21038553815366598,0.01829051716729281,11.502437915198943,0.0,23.415378161672983,6039,0.010664161508986414
btc_etf_launch,BTC,BTC_did,log_dispersion_bps,treated_post,asset,0.6443857195747066,0.09480481990527112,6.796972139376206,1.1739054173176555e-11,90.48165782783497,6039,0.02783771435142013
btc_etf_launch,BTC,BTC_did,log_amihud_illiquidity,treated_post,asset,-0.23307754763549315,0.08357936790379072,-2.788697180670135,0.005309070971950547,-20.790785373046027,6039,0.003965551154876845
btc_etf_launch,BTC,BTC_did,log_notional_volume,treated_post,asset,0.33763229051944965,0.05849142856138189,5.772337910419347,8.217308389291134e-09,40.16250178294296,6039,0.009742320945707372
btc_etf_launch,BTC,BTC_did,log_high_low_range_bps,treated_post,asset,0.20863473736019794,0.01970397820201826,10.588457580552321,0.0,23.199491462110334,6039,0.014923126720690849
btc_etf_launch,BTC,BTC_did,log_rolling_notional_depth_proxy_24h,treated_post,asset,0.366489392095286,0.06257135356175002,5.857143424803929,4.963921940159821e-09,44.26610968576732,6039,0.013632682384316475
btc_etf_launch,BTC,BTC_did,log_corwin_schultz_spread,treated_post,asset,0.19269358772505527,0.01796511444014306,10.725987210773415,0.0,21.251120827516324,6039,0.008988278552465534
eth_rule_approval,ETH,ETH_did,log_dispersion_bps,treated_post,asset,-0.04841232340173924,0.05624988146847645,-0.8606653407593484,0.3894574850474415,-4.725913127761261,6039,0.000726170602364018
eth_rule_approval,ETH,ETH_did,log_amihud_illiquidity,treated_post,asset,-0.18044667568366557,0.07166814014949892,-2.51780882421751,0.011835095146986996,-16.510280016765265,6039,0.0020921069351075294
eth_rule_approval,ETH,ETH_did,log_notional_volume,treated_post,asset,0.13644291814476237,0.07007244012098454,1.947169499295086,0.05156196900701837,14.618944928817612,6039,0.0015510439304038393
eth_rule_approval,ETH,ETH_did,log_high_low_range_bps,treated_post,asset,-0.017978309097641986,0.01896530371946797,-0.9479578794821604,0.34318986055163236,-1.7817663451593857,6039,0.00017297732769550045
eth_rule_approval,ETH,ETH_did,log_rolling_notional_depth_proxy_24h,treated_post,asset,0.15740031839411886,0.06740666827218654,2.3350852731444918,0.019572440820142978,17.046407842742383,6039,0.0025041264352526627
eth_rule_approval,ETH,ETH_did,log_corwin_schultz_spread,treated_post,asset,0.02253290206972738,0.02185199831901637,1.0311597932953558,0.30250833184160575,2.2788685475489956,6039,0.00016653775685704364
eth_etf_launch,ETH,ETH_did,log_dispersion_bps,treated_post,asset,0.006005043258313859,0.04411970600977746,0.136107961757113,0.8917405936822023,0.602310967568287,6039,1.3166822953158963e-05
eth_etf_launch,ETH,ETH_did,log_amihud_illiquidity,treated_post,asset,0.09052234563382719,0.07173136253264867,1.2619632813000836,0.2070120618456821,9.474597016091323,6039,0.0005487377996280518
eth_etf_launch,ETH,ETH_did,log_notional_volume,treated_post,asset,0.12839752052003878,0.05327240953952549,2.410206739846715,0.01597399266486832,13.700489565015417,6039,0.0017086693059520375
eth_etf_launch,ETH,ETH_did,log_high_low_range_bps,treated_post,asset,0.21881212532910746,0.012452731044249338,17.571416627532056,0.0,24.459742638906846,6039,0.025746578380884677
eth_etf_launch,ETH,ETH_did,log_rolling_notional_depth_proxy_24h,treated_post,asset,0.1371933634291451,0.05548253345050794,2.472730693733112,0.013436590252378755,14.704992458483535,6039,0.002447115072200967
eth_etf_launch,ETH,ETH_did,log_corwin_schultz_spread,treated_post,asset,0.28341784935760855,0.01474425193648282,19.222260347866566,0.0,32.765980772765026,6039,0.02550114092761735
mica_stablecoin,EU_VENUE,mica_eu_did,log_dispersion_bps,eu_post,venue,0.156331174847465,0.05361985098440569,2.9155466115139137,0.0035640764340485465,16.921335303301376,6039,0.009705272559165645
mica_stablecoin,EU_VENUE,mica_eu_did,log_amihud_illiquidity,eu_post,venue,0.2515199687296264,0.13076453982821398,1.9234569942283237,0.05447091878505872,28.59785791660645,6039,0.005849643654354031
mica_stablecoin,EU_VENUE,mica_eu_did,log_notional_volume,eu_post,venue,-0.005162242166976628,0.10086347510967882,-0.0511804908700916,0.9591834362561975,-0.5148940693200599,6039,3.06086229184821e-06
mica_stablecoin,EU_VENUE,mica_eu_did,log_high_low_range_bps,eu_post,venue,-0.11062486828466084,0.08229313849011434,-1.344278153857869,0.1789103251565871,-10.472546818549255,6039,0.0074259538771724865
mica_stablecoin,EU_VENUE,mica_eu_did,log_rolling_notional_depth_proxy_24h,eu_post,venue,-0.022476390706689994,0.09800881391691932,-0.22933030008650968,0.8186201824064212,-2.2225678518419723,6039,7.173829576889723e-05
mica_stablecoin,EU_VENUE,mica_eu_did,log_corwin_schultz_spread,eu_post,venue,-0.07000691689628921,0.07446410881731873,-0.9401430838047864,0.3471829027183959,-6.761262934310031,6039,0.0019233515011962687
mica_full,EU_VENUE,mica_eu_did,log_dispersion_bps,eu_post,venue,-0.024021014914795295,0.045750115242838806,-0.5250481837541441,0.5995694945764054,-2.3734806587521695,6039,0.00017228176885153434
mica_full,EU_VENUE,mica_eu_did,log_amihud_illiquidity,eu_post,venue,-0.07321590072124098,0.21199271779042667,-0.3453698857411758,0.729828669935559,-7.059984979963707,6039,0.0005316458132386126
mica_full,EU_VENUE,mica_eu_did,log_notional_volume,eu_post,venue,0.04727449551295331,0.13743362091262584,0.34398057185008846,0.7308731989330794,4.840975335862563,6039,0.0002898663213179997
mica_full,EU_VENUE,mica_eu_did,log_high_low_range_bps,eu_post,venue,-0.061368629624838245,0.08107909522511214,-0.7568983034955095,0.4491411235202136,-5.952351162656166,6039,0.0026170252151801465
mica_full,EU_VENUE,mica_eu_did,log_rolling_notional_depth_proxy_24h,eu_post,venue,0.007848317382238507,0.1419077870906723,0.055305755541264316,0.9558967562437222,0.7879196154378043,6039,9.507509194595087e-06
mica_full,EU_VENUE,mica_eu_did,log_corwin_schultz_spread,eu_post,venue,-0.06440378781070293,0.05684176630715954,-1.1330363567993296,0.25724522984761267,-6.237367899642754,6039,0.0019692500588803785
