event_id,treated,outcome,event_time,coef,se,tstat,pval
btc_etf_approval,BTC,log_dispersion_bps,-30,0.00959914578015289,0.13600383180631423,0.07057996567202036,0.9437344806838426
btc_etf_approval,BTC,log_dispersion_bps,-29,-0.2149153648787003,0.23989148957727496,-0.8958857409131672,0.37035084231408977
btc_etf_approval,BTC,log_dispersion_bps,-28,-0.14368818082725204,0.1973900497607177,-0.7279403445180509,0.46667938928994257
btc_etf_approval,BTC,log_dispersion_bps,-27,-0.2956996365255704,0.16977889028365462,-1.741674928087563,0.0816181742069686
btc_etf_approval,BTC,log_dispersion_bps,-26,-0.1761222749042691,0.2830741027699988,-0.6221772786024535,0.5338496777474264
btc_etf_approval,BTC,log_dispersion_bps,-25,-0.14288530225755905,0.3076179358141044,-0.4644895034465923,0.6423144527806586
btc_etf_approval,BTC,log_dispersion_bps,-24,0.06796176386729426,0.28280946077844926,0.2403093718301559,0.8100988938945193
btc_etf_approval,BTC,log_dispersion_bps,-23,-0.11193511848220393,0.21447099547719015,-0.5219126168233256,0.6017510349412554
btc_etf_approval,BTC,log_dispersion_bps,-22,-0.19298020374887054,0.21864694789785716,-0.8826110110579862,0.37748292979023823
btc_etf_approval,BTC,log_dispersion_bps,-21,-0.02889578767389461,0.18782510823177678,-0.15384411565591707,0.8777379825511187
btc_etf_approval,BTC,log_dispersion_bps,-20,-0.05877919099059729,0.17978036901204142,-0.32694999634059235,0.7437174633250647
btc_etf_approval,BTC,log_dispersion_bps,-19,-0.10133420586205144,0.16378516920021194,-0.61870196402325,0.5361369295648757
btc_etf_approval,BTC,log_dispersion_bps,-18,-0.15678660046528972,0.19721689734946826,-0.7949957765914141,0.42664837720723936
btc_etf_approval,BTC,log_dispersion_bps,-17,-0.39732452536752033,0.2288182546629196,-1.7364197010978577,0.08254256665825355
btc_etf_approval,BTC,log_dispersion_bps,-16,-0.05024352224809634,0.19595946939358466,-0.2563975214036848,0.7976529638131424
btc_etf_approval,BTC,log_dispersion_bps,-15,0.044710470238498064,0.1988746831521383,0.22481730469581562,0.8221292959753796
btc_etf_approval,BTC,log_dispersion_bps,-14,-0.17144096860969188,0.22933806598833756,-0.7475469363137043,0.45476368343874984
