asset,model,outcome,term,coef,se,tstat,pval,rsq,nobs
ETH,depth_x_flow,log_rolling_notional_depth_proxy_24h,treated_usv_flow,0.014981962082107133,0.016999226780963442,0.8813319732215503,0.3781402646608596,0.000792131949042596,100995
ETH,vol_x_flow,log_notional_volume,treated_usv_flow,0.019094208918083805,0.017030929102435352,1.1211489874239104,0.2622271178267308,0.0008479015312370386,100992
ETH,disp_x_flow,log_dispersion_bps,treated_usv_flow,0.005126982470244802,0.003542206280049565,1.447398052202951,0.14778857989377747,0.00010735617919943596,100924
ETH,depth_x_etfvol,log_rolling_notional_depth_proxy_24h,treated_usv_etfvol,0.04773713864737513,0.011123341552154406,4.291618523403989,1.7754050175788905e-05,0.0038691003408055646,100995
ETH,vol_x_etfvol,log_notional_volume,treated_usv_etfvol,0.055881532669414966,0.011956768187259858,4.673631853878183,2.9630107505340675e-06,0.0049810946813392265,100992
